student_id,subject,assignment_name,due_date,status,grade_feedback,guardian_signature
s12002,science,record.,2024-09-10,not done,c-,yes
s01255,history,head baby.,2024-10-16,not done,a+,no
s04968,arabic,keep audience medical free.,2025-02-11,done,a+,yes
s07925,geography,three half peace.,2024-10-03,done,a+,unknown
s09980,geography,assume particularly.,2024-12-01,done,b-,no
s08309,geography,four from kind dark.,2024-12-19,done,a,no
s11121,math,analysis late human.,2024-11-10,not done,f,yes
s00175,arabic,shake by.,2024-09-09,done,a,no
s02439,geography,oil education large wonder.,2025-01-01,done,c,no
s08144,math,never bar time personal.,2024-10-15,not done,a+,no
s08545,math,deal music.,2024-12-09,done,f,no
s00424,history,sister however.,2024-09-28,done,b,unknown
s00568,math,range huge.,2025-01-28,done,a,yes
s07048,arabic,music build check force.,2025-02-01,done,a+,unknown
s08771,science,strategy.,2025-02-26,not done,a+,yes
s00004,english,movement before.,2024-12-09,done,c-,no
s03421,science,strategy family.,2024-12-09,done,b,yes
s05678,history,alone yeah.,2024-12-09,done,a+,unknown
s01051,geography,town start industry.,2024-12-05,done,b-,unknown
s08351,geography,upon possible.,2024-10-06,done,a+,yes
s02892,geography,all should.,2025-01-13,done,b-,no
s11787,history,deal city.,2024-12-07,done,a+,no
s09553,history,road from open receive.,2025-02-12,done,a+,no
s00091,geography,laugh minute.,2024-12-09,not done,a,unknown
s05572,math,animal live.,2025-01-03,not done,b-,yes
s03669,science,media environmental.,2025-02-11,done,c-,yes
s02662,math,story.,2024-09-24,pending,b,yes
s02378,history,social physical write.,2025-01-27,done,a+,yes
s07855,history,whom care ask.,2025-02-20,not done,c-,unknown
s10106,math,hospital if.,2024-12-09,done,b,unknown
s06166,math,message seek.,2024-12-09,not done,b,unknown
s07503,geography,scientist relate cover.,2024-12-09,done,f,unknown
s09683,geography,success within medical.,2025-02-11,done,c-,yes
s03110,geography,red identify say.,2025-01-04,done,b,unknown
s04766,history,generation.,2024-12-09,done,c,no
s11466,geography,person job.,2025-01-08,done,a+,no
s04410,science,health general small.,2024-12-09,done,d,unknown
s10067,history,admit yard.,2024-11-16,not done,b,no
s06923,history,place.,2025-02-22,pending,f,no
s05866,history,everybody half fear.,2025-02-13,not done,b-,no
s07087,history,positive inside.,2025-01-30,done,c,yes
s07161,history,sure factor.,2024-11-28,pending,c,yes
s10924,history,modern like director.,2024-10-24,not done,f,no
s07945,math,research prepare computer.,2024-12-09,done,b,unknown
s00187,science,foreign.,2024-12-09,done,d,no
s09910,math,mother course.,2025-03-07,done,f,unknown
s06993,english,continue defense whatever.,2024-12-09,done,a,yes
s03451,history,occur son act.,2024-09-12,pending,a,unknown
s06188,history,note line nation.,2024-10-17,not done,a+,yes
s07794,english,attention popular nice.,2025-03-07,not done,d,unknown
s09303,history,eat toward according.,2024-12-08,done,a,yes
s05058,math,bring thousand sea.,2024-12-09,not done,c,no
s03048,english,themselves play adult.,2025-01-30,not done,b-,no
s11320,geography,answer.,2025-01-09,done,a+,unknown
s11107,math,long.,2024-12-09,done,c-,yes
s07251,english,sometimes expert.,2024-12-09,pending,c,unknown
s05103,geography,fear across.,2024-09-12,done,d,unknown
s07306,geography,moment.,2024-12-09,not done,a,unknown
s00828,science,station television manager.,2024-10-02,done,f,no
s02329,science,type follow.,2024-09-13,done,a+,no
s04045,science,behind suddenly truth.,2024-11-02,done,b-,unknown
s08571,english,especially require.,2024-12-09,not done,a,unknown
s03713,history,quickly simple.,2024-10-08,done,a,unknown
s04784,math,read surface determine.,2024-11-21,done,b,no
s04006,arabic,professional stand.,2025-02-16,done,d,yes
s11171,arabic,whose save nearly.,2024-12-09,done,d,yes
s08040,math,company black how.,2025-02-27,done,d,yes
s01574,science,radio agency hit.,2024-10-15,done,a+,yes
s07756,math,well owner place.,2024-09-13,done,d,unknown
s01777,math,try sing moment.,2024-10-27,done,c,no
s06533,english,theory single.,2025-01-12,pending,a,yes
s10168,arabic,mention prepare.,2024-09-27,done,b,yes
s06215,arabic,side service difficult.,2025-01-25,not done,c,unknown
s06511,geography,reality create.,2025-01-24,not done,b-,unknown
s06224,history,tough out.,2024-12-09,not done,b-,yes
s02532,science,set capital.,2025-01-31,done,d,no
s04520,science,tonight attention.,2024-10-15,not done,c-,no
s00087,geography,their clear team.,2025-01-28,pending,c,no
s05770,science,what generation current.,2025-02-21,pending,d,unknown
s09016,arabic,floor woman.,2024-11-26,done,b-,unknown
s12111,arabic,relate.,2024-12-09,not done,c-,unknown
s11555,math,feel may speak.,2024-09-20,done,b,no
s02282,geography,agent child.,2024-11-18,done,d,unknown
s01153,history,thousand hour.,2024-12-09,done,b,yes
s01856,arabic,leave popular.,2024-12-09,done,c,no
s06708,science,project everybody fly.,2025-03-03,done,c-,no
s01043,arabic,apply rule present.,2025-01-23,not done,a,yes
s09501,history,administration race.,2024-12-25,not done,a,yes
s09150,math,start make.,2024-12-09,done,a+,unknown
s00985,english,sound serve.,2024-12-02,done,c-,yes
s04485,geography,report.,2025-02-26,pending,c-,yes
s05960,science,owner national.,2024-11-23,not done,c-,no
s00219,history,various glass.,2024-10-27,not done,a+,no
s10285,science,between plant.,2024-11-27,not done,d,unknown
s07872,english,soon when less this.,2024-12-25,done,c-,unknown
s03670,math,continue.,2024-10-24,done,c-,no
s02486,math,high.,2025-02-18,not done,a+,unknown
s06554,english,its center machine.,2024-09-28,done,b-,no
s01349,arabic,between.,2025-01-20,not done,f,no
s06486,science,say current provide.,2024-12-12,pending,d,no
s00601,geography,choice coach.,2024-12-09,not done,b,yes
s00330,english,start single.,2024-12-09,done,c,unknown
s03120,math,much current class any.,2025-02-01,pending,c-,unknown
s10266,science,task situation.,2025-01-31,done,c,unknown
s10471,science,responsibility century.,2024-09-23,not done,f,unknown
s08021,math,medical charge.,2024-12-09,done,d,unknown
s07736,english,war sister.,2024-09-22,done,b,unknown
s07659,science,of environment.,2025-01-19,done,a+,yes
s09863,history,wall around popular.,2024-09-17,done,a+,unknown
s07273,english,so.,2025-02-06,done,a+,unknown
s10920,science,south least.,2024-12-09,not done,c,no
s05796,english,because north administration.,2024-11-23,not done,b-,yes
s06259,english,attack turn.,2024-09-22,done,d,no
s05122,geography,culture may remember.,2025-01-04,not done,a,no
s10172,arabic,standard.,2025-01-25,done,a,yes
s03138,history,guess direction.,2024-12-25,pending,d,yes
s07726,math,may if.,2024-11-23,done,c-,yes
s06642,math,nation establish.,2024-10-16,pending,a,yes
s05811,geography,finally question rate.,2024-12-09,done,b,no
s06638,arabic,air two.,2024-12-09,not done,c-,unknown
s06909,math,have skin.,2024-12-31,not done,b-,yes
s10341,english,writer teach follow.,2025-01-13,done,a+,unknown
s09572,history,from plan something.,2025-03-01,done,b,yes
s05178,history,past sing.,2024-09-20,done,a+,no
s09258,geography,law carry stage.,2024-12-09,done,d,no
s09268,math,religious student hot.,2024-09-29,done,c,no
s03447,science,pick police and.,2024-10-25,pending,a,no
s01530,math,through wear.,2024-12-09,done,a+,yes
s07544,math,be memory tv.,2024-09-11,not done,c,no
s06996,math,significant expect.,2024-11-09,pending,a+,yes
s06032,arabic,low another western.,2024-12-15,done,a+,unknown
s03303,english,fill they we.,2024-12-09,pending,a,no
s03099,science,health top.,2024-12-05,pending,d,unknown
s07216,math,shoulder exist network.,2024-12-18,pending,a+,unknown
s04062,math,event he thousand alone.,2025-03-03,done,d,unknown
s07816,science,join close.,2024-10-22,not done,a,yes
s09683,arabic,knowledge become.,2024-12-09,done,b,no
s04470,english,lay maybe.,2024-12-09,not done,d,unknown
s02370,math,call manage difference seem.,2025-02-24,done,a,unknown
s08804,geography,reduce region hold.,2025-02-07,pending,d,yes
s02581,history,section sing.,2024-12-25,pending,c-,yes
s06156,geography,per hour.,2025-02-06,done,b-,yes
s06549,science,member without.,2024-12-09,not done,b,unknown
s09864,arabic,safe state.,2024-11-29,not done,d,unknown
s09007,geography,movement task.,2024-09-14,pending,c-,unknown
s08276,geography,position hotel politics.,2024-12-31,not done,b-,unknown
s07650,english,return national.,2024-12-01,pending,c,no
s08249,geography,pick rule source point.,2025-02-05,not done,b-,unknown
s06365,geography,clear writer skin.,2025-02-14,pending,f,no
s09777,math,history rate.,2024-12-20,not done,c-,yes
s03956,science,control.,2024-12-09,not done,f,no
s01771,history,either interview.,2024-12-09,pending,c,yes
s06247,science,environment beyond production early.,2024-12-21,done,f,unknown
s10620,history,exactly away yard.,2025-01-14,done,d,yes
s05935,geography,similar.,2025-01-18,done,a,yes
s06837,science,significant purpose draw.,2024-11-25,done,a,unknown
s09908,history,necessary worker population.,2024-10-28,not done,d,yes
s07199,science,smile time mother.,2025-02-23,not done,b,no
s07449,math,agency guy.,2024-11-11,done,b-,yes
s02318,math,difficult stand article deep.,2024-12-08,not done,c,yes
s04706,geography,teach open.,2024-11-14,pending,f,yes
s07726,arabic,exist next whom.,2025-02-01,done,b,unknown
s08593,science,design their happy treatment.,2025-02-24,done,b,no
s06267,geography,office.,2024-11-10,pending,b-,no
s03757,math,ok each.,2024-12-09,not done,d,unknown
s03985,english,green somebody.,2025-02-27,not done,b-,yes
s04322,arabic,century public.,2025-02-16,pending,b-,yes
s01487,math,measure their piece.,2024-10-31,not done,a,no
s07854,geography,late many eight.,2025-01-05,done,d,no
s06182,arabic,wall spring tend.,2024-12-09,not done,c,unknown
s01367,english,along spring.,2025-02-22,done,c,unknown
s01302,english,rule personal short.,2024-09-16,done,a+,yes
s07532,history,challenge operation husband.,2024-11-16,not done,b,yes
s11652,geography,create public especially.,2025-01-10,not done,f,no
s07760,english,list agreement.,2025-01-20,done,c,no
s07351,geography,language position skin.,2024-09-23,not done,a,unknown
s04812,english,who first.,2025-03-06,done,a,no
s05768,geography,body relate international.,2025-02-07,not done,b-,no
s08813,math,door foreign each military.,2024-09-28,pending,b,yes
s00156,english,now local carry.,2024-11-18,done,a,unknown
s11510,arabic,play heart admit guess.,2024-12-09,not done,c,yes
