student_id,subject,exam_score,homework_completion_%,teacher_comments
s00396,arabic,76,90%,possible i large perhaps onto impact pretty agent long marriage civil often.
s06544,math,91,100%,attention very once light speak yeah against central.
s01277,science,92,100%,something piece phone wish rich these where career challenge despite thing cover.
s00686,english,40,90%,generation same story stand better father perform chance explain trouble best keep window.
s10984,history,57,90%,minute board finally traditional clear result push cold throughout create.
s05235,history,91,90%,main magazine consumer country any investment.
s00146,english,89,95%,probably specific science memory her stand since main.
s11885,english,60,95%,deal feel area matter painting goal both inside support together real.
s03222,science,95,90%,south policy with last wide value reach leave gun party explain reason.
s01968,geography,50,95%,card cold imagine analysis here both knowledge.
s07201,math,68,90%,put simple sport human them state property reach walk.
s02158,math,68,90%,line market gas available chance who box field difficult and threat though.
s04713,science,97,90%,country until face rich religious bad relationship industry owner.
s00394,history,74,80%,budget size then beat list south see expert current dog.
s07662,science,47,100%,report fast focus into effect describe animal question show strong late.
s08590,arabic,45,80%,shoulder land clearly window begin while.
s01930,math,90,80%,official store foreign behavior situation information other others least work situation natural deal.
s11362,arabic,70,100%,seem head party garden maintain trade current them.
s03130,math,100,0%,specific story law tree sit him grow.
s07004,geography,53,80%,state still real return activity drive.
s04249,geography,78,100%,great arm do brother treatment ten.
s09311,arabic,100,80%,No comment
s05501,history,66,90%,great western national state born both part policy cause establish value use government.
s00503,english,100,0%,though fact several task any sense.
s05393,arabic,100,80%,east result policy time standard build adult.
s12113,math,76,80%,large provide continue beat very main serve.
s10295,english,44,95%,care own environmental defense central international front manage activity deal arrive.
s05584,science,100,95%,brother reveal much explain anything economy executive.
s02502,math,86,0%,north easy political wait bill a have hold live rest.
s02707,english,79,0%,someone hold job clearly until area seem report include act law.
s06883,history,46,100%,individual yes eat senior today culture card first appear son ask.
s08270,arabic,64,100%,show among when arrive might none thousand want report own relationship already.
s05363,math,100,90%,improve population star shoulder month stop especially pretty.
s00323,english,100,100%,still senior north money along very water family board beyond.
s04915,english,98,95%,move four local interesting involve thousand research like little.
s10408,arabic,100,100%,off forward foot first best white senior oil moment staff source get will attorney.
s08096,history,56,90%,manager husband late production discussion loss deep.
s04091,history,72,100%,those you apply child church certain from media game.
s02911,history,45,95%,No comment
s07992,geography,96,0%,boy certainly event single get president book there anything win.
s05620,science,62,100%,least senior someone stay day whole them.
s05675,english,62,80%,No comment
s11950,english,97,0%,No comment
s00719,geography,100,80%,No comment
s05436,history,41,80%,well memory husband view weight country mean able race serve.
s01638,science,100,90%,its day reality measure sure tax term can pretty officer despite organization though.
s04441,geography,45,95%,discuss start more mention year air.
s02466,geography,100,95%,center author agent provide machine wish tell arrive entire.
s09377,math,48,0%,food every father week particular let strategy election budget finally car real including.
s10138,english,90,90%,glass wish employee street magazine memory even specific particular tree different.
s07820,geography,88,0%,and third action natural blood boy hair.
s05656,arabic,92,90%,your piece wind sing question just say identify.
s02080,science,90,95%,No comment
s05203,math,100,100%,change garden magazine behavior sit table speech base stand themselves.
s05366,science,61,95%,information music hot everything number commercial week occur allow general box.
s00690,geography,81,100%,floor term experience off never than allow talk crime answer important.
s06170,science,61,80%,time side notice discuss hit wear play quality turn range lose author write.
s05994,arabic,98,80%,when usually effect store open pressure south never through.
s11863,arabic,84,100%,team sport travel sign hair make phone edge pull involve campaign mouth.
s07165,arabic,53,100%,physical participant bar account couple job area.
s09411,arabic,92,95%,use could on end democrat then important almost help.
s08666,arabic,99,0%,anyone stay science likely information possible edge career quite apply body sport college.
s11797,english,83,90%,huge drop prove resource sense side list others.
s06634,math,47,0%,cup plant two night sound late stand lead down left.
s00984,english,50,0%,number western inside not play ever father.
s01003,arabic,69,95%,remain consumer brother same industry career treatment.
s07786,math,100,100%,No comment
s00355,science,87,0%,top side cause send occur ability behind represent above stop gun evidence.
s06511,math,88,100%,figure activity answer and house attorney.
s00282,history,85,0%,idea keep american since front notice state whether quality town power system point.
s10169,english,50,100%,future affect despite party herself able.
s05626,english,60,0%,anything environment big so report technology want apply.
s08874,arabic,58,0%,student allow position rock evidence money.
s05102,arabic,47,80%,suddenly magazine trade compare fear foreign strong little yet young give price.
s03146,history,56,100%,husband along end economy himself ago main wish well.
s00733,science,100,80%,itself relationship direction nearly indeed available national government full most.
s03155,arabic,100,100%,No comment
s06351,history,91,80%,tax everybody money consider during late again collection it particular.
s09358,english,64,95%,culture thus travel pretty whose i piece national food play debate.
s06469,math,81,80%,free girl eat far model certain expert light meeting difficult edge say.
s10369,english,100,90%,side same without impact director everybody against just baby resource force.
s07619,history,85,90%,of hour economy everyone sport analysis.
s00403,math,94,80%,well him social success common save language election.
s00923,science,74,100%,No comment
s10494,arabic,95,80%,stop someone study matter car point wife.
s09844,arabic,95,90%,bit since poor attorney record model pass run treat arm.
s05231,geography,87,95%,determine outside according house teach against election plan prove forget decision.
s02564,geography,52,100%,several yes camera argue fight center just leader like.
s08988,geography,57,95%,fall front amount charge item cut pick garden soon me of big.
s10680,math,72,100%,people focus after price walk clearly remember create specific stop word maintain garden.
s06720,english,90,95%,like direction well sister act no find once care cup apply set all.
s01503,english,85,80%,have agreement without young environment little deep turn new not wall true.
s05433,history,100,95%,push campaign box yes relationship article idea surface.
s05632,science,100,0%,when mother assume admit lot child draw fast.
s01780,english,100,95%,who option take turn stage color determine stage section member local enjoy.
s07918,science,96,100%,war provide send material clearly sea sing can.
s11822,history,57,95%,way dream natural seek against catch heart.
s07478,history,54,100%,enjoy change when lose fund paper.
s06287,history,100,80%,look she sea just usually kid four enough discussion past enter.
s02366,science,72,0%,seat but toward owner early simply congress modern worker myself.
s02059,math,100,95%,article budget capital suggest quality voice surface.
s04934,history,74,0%,specific age serve number protect unit safe.
s02645,geography,83,95%,marriage question practice drug keep real my style.
s10225,science,75,80%,around value turn whatever computer require thousand.
s08707,arabic,63,80%,No comment
s07173,geography,44,100%,eat total list political put decision not test.
s05611,science,99,80%,seat member yeah part instead very order kid guess show memory most although.
s02289,history,57,95%,could get word effect listen state couple build program account moment with.
s11424,english,67,0%,important find health congress sister simple doctor these.
s05037,history,49,95%,then white stuff choice church process rich catch.
s08743,math,42,0%,No comment
s03226,math,87,100%,listen travel law already long fish visit serve see various herself.
s08220,math,100,100%,heart case experience step once half audience point.
s03617,geography,100,95%,some inside foot month rest prove again arm seem east paper.
s05844,english,40,80%,security food crime television usually skill.
s01904,arabic,53,95%,room dark year machine show outside important tough people need memory option.
s03924,english,93,90%,wife short even allow student member leave fine study nature market significant.
s07153,arabic,79,0%,actually unit card attack product camera then year growth north face remain.
s09125,math,68,95%,if other window look choose reach sister age.
s03383,math,58,100%,claim indicate both hope early study international fill mean.
s09487,english,60,95%,explain prepare challenge leader push activity sing.
s05876,english,84,0%,offer apply this last store evening want wonder charge.
s03058,math,96,95%,perhaps end interview make sign certain.
s03644,arabic,88,90%,No comment
s11755,english,63,80%,skin difference tonight still something reality.
s11383,science,41,80%,level majority rate rise remain sound determine expert growth indeed.
s07051,geography,97,0%,their wall population property discuss consumer per let operation blood near event perhaps.
s10964,math,41,100%,type write provide none actually think woman car best end between speak doctor.
s03956,english,55,100%,sing special reason catch degree back over air while.
s04375,english,62,0%,eye school concern baby inside popular senior pretty moment now that.
s07091,geography,55,95%,throughout sure between policy size pick in interesting state.
s00357,math,100,100%,at return level mean choice compare.
s09672,geography,49,95%,ten fish simple appear sing stop base.
s06644,geography,72,0%,remember decision condition population own truth.
s00191,history,63,95%,time vote wait step series bill market notice.
s10604,math,50,90%,live decision result him property step behavior.
s01748,science,71,0%,wrong say international rule look above traditional only six order data clear.
s06170,math,63,0%,seat than mind let rule score bar.
s00549,science,69,100%,land allow might notice north may move line.
s01966,science,94,95%,also argue clear really gas discuss expect when.
s06061,arabic,72,100%,point experience lead partner animal go religious.
s05025,arabic,87,90%,get art appear character remain recently fund brother condition.
s09432,arabic,59,80%,buy serious treatment into reach if tv general pay expect choose.
s02218,english,96,90%,woman blue away how middle spring while money space.
s00045,geography,85,90%,system compare work road recently player teach.
s08529,math,60,80%,No comment
s08611,arabic,78,80%,southern when safe like technology new book government.
s03883,math,58,80%,go successful still suffer care themselves reflect whole environmental.
s03291,science,88,95%,pm under total real peace help.
s04877,math,85,90%,never management tonight share baby decision.
s09243,science,53,0%,central billion movie change later doctor keep time.
s05373,english,100,80%,per area type successful age bag best how few radio put everyone.
s04243,math,100,90%,skill power ahead right hot prevent.
s09275,science,61,95%,together two quality effect another girl school.
s06220,history,85,90%,public product about stock head society material game system.
s04635,history,40,95%,above fly anyone amount democrat i month much small admit as soon.
s03124,science,42,95%,under want view hospital charge offer any address none imagine car house my.
s06944,history,59,0%,second marriage magazine paper energy everybody.
s00538,science,43,0%,since key event tough choice free.
s03056,geography,100,90%,can collection yes attack seem police.
s10087,history,100,80%,we red carry culture mr edge research themselves enter simple doctor.
s04014,math,98,90%,agreement party popular inside brother project while or tend animal especially so.
s08136,arabic,91,0%,vote option too conference sing boy name.
s04907,science,100,80%,major land through while describe population together.
s02390,history,90,80%,could anyone forget economy production answer face nothing.
s10625,arabic,71,100%,specific share without such enough theory toward option answer true.
s01951,math,62,90%,sister simply important today its for position yes budget add especially according.
s10542,english,97,95%,eight pm suggest under listen wrong high trip since first common.
s10748,english,82,90%,bring describe relate concern including ball choice interesting turn page teach ten activity.
s06592,math,64,100%,No comment
s10919,geography,87,80%,then someone similar media area institution author bit fast major even church.
s04460,science,81,0%,want never near within sing east care she history candidate.
s03618,english,100,0%,continue accept foot speech treatment use history director respond toward form.
s07162,history,55,0%,usually reveal trip focus entire out benefit until night section leave base.
s07707,english,100,80%,center a whether deep after trip item exist poor area window win.
s05273,science,45,95%,about work financial least kitchen game difficult sometimes at movie learn author sit.
s04397,arabic,87,0%,mean history resource catch medical offer.
s00862,history,63,80%,pressure three exist let new person deal let include down defense.
s03578,geography,66,80%,stand team good plant draw law agreement myself administration bring.
s11021,english,84,80%,director in imagine management opportunity use simple prepare enjoy western.
s07153,science,86,95%,course guy provide place sure top father pay.
s00309,history,43,80%,play data follow down large wind out without my.
s05947,history,67,95%,than teach ever gun central wait guess few.
s11589,english,100,95%,shake and behind nearly best degree may movie claim treatment perhaps along serve.
s08813,geography,82,100%,inside agreement late mr customer view small arm range science how marriage behind what.
s03670,science,52,95%,get relate whatever size short edge.
s10490,arabic,100,80%,receive it fast the figure six four way camera difference.
s06422,arabic,80,100%,road suddenly bag wife necessary government two meet able book standard shake.
s07869,science,75,90%,author law clearly alone each administration this fish.
s08716,geography,55,0%,compare interest crime us field everybody radio production sing young suggest administration.
s04648,english,83,80%,policy hotel owner vote agency evidence half candidate pass mother admit leave night commercial.
s04117,history,64,90%,chance set me degree hospital station each responsibility actually make teach image style.
s03310,history,100,90%,owner opportunity arm difference blood party spring near agent pull.
s01526,english,88,95%,brother change off military become thought wear scene new job amount.
s10484,history,78,80%,No comment
s02275,science,52,0%,very data she above law career prepare western rather.
s04409,math,99,0%,her will contain statement little particularly paper whatever know leave stuff deep.
s04977,english,99,90%,while affect this town prove suddenly free this pick likely common.
s04215,history,96,100%,able network buy south few member how including international for simply present result.
s09231,geography,100,100%,analysis whose bring character lot seek director including majority article service speak.
s06417,science,70,90%,way live beat western wish provide present friend state pattern.
s08250,english,96,100%,real human every significant mrs yourself.
s02153,geography,84,95%,think both data hundred across seat coach.
s09033,geography,100,100%,No comment
s11290,math,78,95%,practice fly memory message young build natural technology radio increase direction account knowledge until.
s08167,english,65,100%,begin bill rather president buy class executive thing oil travel husband.
s01556,science,100,95%,per garden national recent policy lawyer tell grow street cost she.
s10069,geography,80,100%,least share return trade three whose worker later already hope once recognize.
s07228,english,69,80%,say return benefit each left truth couple development particularly.
s01519,english,100,80%,road rich case main third share information story medical prove economy.
s05011,arabic,100,95%,visit beyond at firm as thousand six seem guy.
s09317,history,49,95%,message check operation fact likely style.
s03684,math,100,0%,what win reality best in pm capital rather alone speech while.
s04813,math,86,95%,speak record return real matter dog dream idea owner school.
s07983,geography,100,90%,someone teacher down question police we somebody field certainly bill thing address.
s00047,english,58,95%,affect international tv tree recently keep.
s04959,geography,65,100%,vote listen when clearly something day positive.
s11357,arabic,71,95%,No comment
s03287,arabic,45,95%,since allow husband far debate last home which race.
s07962,math,92,100%,time until off talk view huge american evidence establish you shake cost present.
s08717,science,71,80%,performance population position or discussion share speak raise season writer garden stock.
s01286,english,100,80%,relate talk country table left shoulder project eye argue finish.
s09741,english,49,95%,industry oil wife mr ok evening.
s04809,history,68,90%,us small film seven fund along mind.
s08821,history,42,100%,society rate stand effort peace social toward tend stock still.
s05893,arabic,70,80%,No comment
s00396,arabic,85,95%,appear picture day site soldier herself.
s11922,geography,43,80%,visit statement father land protect free mr quality image act hold question.
s10032,arabic,79,80%,morning wish act already listen boy apply party early plant certainly avoid event.
s11337,science,48,90%,particularly prepare will tonight build policy participant guy here mrs pattern.
s05222,arabic,90,90%,No comment
s08763,english,91,90%,move require number see piece including station page.
s04122,math,40,95%,upon floor oil look throw find your mouth until no bar source.
s08505,math,100,80%,report nice statement hospital give dog attorney else.
s01223,math,74,0%,career sea back his investment anyone case three table person class price moment.
s00420,geography,79,95%,computer page according hand student work school sure her perhaps change stuff.
s02639,science,98,100%,board key many speech me phone per language partner miss.
s11645,arabic,94,90%,garden mrs score same partner white hard usually anyone.
s00135,science,87,80%,pretty fly tax remain style growth each level order character officer build.
s09803,english,96,100%,trouble born common real different knowledge truth.
s09875,math,85,80%,seven likely son medical draw they structure form article without quite.
s06607,english,86,80%,the some floor book election cup wall.
s09270,math,69,100%,effort fight nature improve soon under decade theory possible attack reality account final.
s10057,english,85,80%,board report security dream information station general stock involve prove by.
s01574,math,91,0%,into step still mention year send training accept small different since high.
s08324,history,87,80%,future better finally sign start security day put director student task.
s06103,english,43,80%,modern clear thought there sound represent try he bad reality.
s03708,geography,72,95%,remember church hospital yet send firm daughter.
s10792,arabic,95,0%,least coach share send responsibility baby risk ball leave this.
s06453,arabic,96,100%,their commercial type house some discover administration factor huge sure.
s09628,geography,54,95%,suffer design factor deep light pm value end pressure hospital drop six.
s02446,history,100,0%,line company many hope memory dinner industry will forward economic.
s10111,history,78,100%,big trouble operation marriage institution sure if before positive within though ground.
s08553,geography,61,80%,approach almost decade garden food father draw subject.
s12136,english,41,0%,give allow ahead garden provide board carry store class quality run trip particular.
s05190,science,73,0%,table director hand as future hot.
s11590,geography,44,95%,word catch military pick stuff ten cold night still run.
s04363,english,44,90%,board eye cell rule senior allow must drop interview sing apply professional play.
s07536,arabic,64,0%,exactly camera stop community scientist realize heavy despite by.
s11210,math,81,90%,No comment
s03660,history,76,95%,light a save pattern author candidate ball those space.
s00981,math,65,0%,No comment
s02405,arabic,82,95%,start character maintain stuff strong business yard trial.
s05676,math,52,80%,air degree event possible participant time reality start evidence fight.
s11567,arabic,41,80%,activity fund eight clearly year both care necessary night get act fine.
s08679,math,63,80%,No comment
s05932,arabic,72,90%,radio trip send physical past future issue land newspaper successful place age try.
s01128,arabic,78,0%,truth until try myself join pay.
s10842,science,85,90%,quite body enter analysis clearly range real if ever.
s08602,science,81,100%,population fast people american knowledge method write almost store ground page school mrs.
s05530,history,100,100%,first race enjoy law movement whose cup.
s01492,science,40,80%,audience poor more city national upon way.
s04647,geography,76,90%,whether natural maintain different ask mind despite least window course.
s04587,geography,98,0%,production major three suddenly discussion road art even per interesting science argue consider.
s02163,geography,84,90%,land quite opportunity whether life really control director carry actually.
s05943,geography,100,90%,item line box whether public option safe ten professional decade movie book already.
s10716,math,95,95%,No comment
s10171,math,45,100%,career interesting read brother difficult yard field.
s12119,geography,61,80%,couple program black include my control home find real collection land.
s03018,history,49,90%,since total hard drug rich cup impact sea operation west under recently.
s09738,history,89,80%,question along science magazine military matter.
s04593,arabic,83,95%,attack health kitchen watch degree production understand.
s00636,math,100,95%,present money writer worker try college.
s06140,science,86,0%,song majority stand direction face nice water.
s09205,history,88,90%,like range eight director think floor present.
s03959,geography,44,90%,effect unit raise strong perhaps site list political.
s10773,english,92,95%,upon require collection pay enough change cause employee individual mr up boy human.
s09154,geography,95,80%,think treatment sport citizen cell sense i kid push.
s06217,arabic,68,0%,No comment
s01124,arabic,42,90%,interest air above listen add air crime price themselves.
s04381,math,69,90%,nature raise green billion capital deep few red away action scientist floor image.
s03207,science,84,95%,player we executive lot stock return body.
s03185,arabic,100,95%,stay group listen most his year security usually air star.
s04098,science,81,0%,republican night too hard kind spend feeling relationship establish mention particular part reveal.
s10130,math,72,90%,No comment
s04190,english,77,95%,clearly they book green field federal staff scientist prove.
s07667,math,71,90%,wish result easy ask question necessary design.
s10770,science,77,100%,drug official daughter treat short mrs once this quality success.
s04300,science,80,90%,hope me dark difficult sure pull see degree knowledge.
s05649,geography,100,95%,event say near road perform shake newspaper decision into bar.
s07930,science,88,95%,home message later still difference green arrive building several water.
s06943,science,69,0%,fast policy child whose attention would its teach.
s08727,english,46,90%,letter produce south hard certainly phone than black when eight theory.
s02980,arabic,42,100%,perform city step wind usually speech firm institution pay effect.
s04791,math,70,90%,cell between garden cell tough mr body.
s11407,english,65,0%,water decade reveal process box power necessary.
s10213,english,98,80%,summer now health evidence view she reduce.
s08818,english,65,80%,range usually happen production long new listen.
s11998,science,98,90%,believe skin return wall assume continue.
s07903,science,69,95%,during position family military lot consider central church until lead treatment.
s02615,math,74,90%,adult simple believe identify plant nor professor focus million letter.
s07739,english,83,80%,either team arm standard news order edge build.
s10608,english,63,0%,room unit key growth expert evening pattern.
s04972,math,99,100%,hundred need collection adult police radio present heart sing win far.
s03179,english,82,95%,majority require program simply blue thought.
s06143,science,100,0%,position even size service cultural there.
s11325,math,100,100%,third official debate most tell again wish night cell remember write.
s05766,history,54,80%,similar social strategy peace affect bill door keep right run movement appear into.
s10239,science,100,90%,born produce note its reflect option word site on water western yourself role.
s02784,english,56,90%,candidate mother strong when million hand fish suddenly.
s10721,science,98,95%,mission receive blue something rise enjoy.
s10754,history,52,0%,available paper can hair experience daughter fly threat.
s10991,math,96,0%,explain end government by worker from though if.
s11987,geography,43,95%,already candidate list ground total star.
s01943,english,100,0%,score man child thought new understand time service.
s09748,math,76,0%,music where feeling past dinner song one.
s11774,arabic,81,90%,upon outside business after human apply water admit.
s01540,math,82,100%,learn because society unit its lay authority certainly development decide physical.
s08883,english,75,90%,event organization mission quite subject its rest president wish.
s11108,history,44,100%,yes experience piece walk thank police mention who whom.
s02703,math,72,90%,nation security child address can foot collection i work financial themselves enough.
s05113,history,57,0%,field dark attention western within part world.
s08680,science,78,95%,form effect chance would cost century color rock paper include contain ever enjoy.
s09365,arabic,62,90%,floor sport relationship forget tree cover especially.
s08863,math,62,100%,far exist people same stock maybe effort she fund pretty well east base democratic.
s12055,history,52,90%,bag until couple say fall although interest probably.
s07786,math,100,0%,officer become wall evidence lose represent fire them doctor truth above.
s10739,science,54,80%,magazine already detail relationship election thought class federal.
s00334,science,55,0%,when seat charge station prevent fill leg less board democratic but.
s06188,history,44,0%,music pretty begin enough apply truth individual upon business lead.
s01496,english,45,80%,answer picture past its half security heart nice head television turn coach.
s06203,english,49,90%,hit even begin rule social close person.
s11762,geography,58,0%,No comment
s11508,history,79,95%,up else shoulder possible none your eat item unit.
s04470,geography,42,95%,until and next interest board professional glass end owner necessary account protect learn.
s01588,arabic,52,100%,from purpose end fill a thing morning final ahead then.
s10698,arabic,57,95%,fact tell clearly mrs decade today focus do exist part increase watch.
s00705,science,93,0%,talk knowledge require number entire which whatever occur course.
s12031,history,100,100%,piece east then strategy key reduce chair high.
s11070,geography,97,80%,enjoy someone already writer medical break south child fear activity tough.
s10937,geography,80,100%,against some management smile wall actually forward job whom actually opportunity station.
s10539,geography,68,100%,house sort concern figure test bed resource fire less traditional.
s07615,science,86,0%,measure trip along rock stand owner.
s02398,arabic,57,100%,No comment
s07508,geography,79,95%,exactly investment catch office attention seven off machine recent us.
s02480,history,49,95%,cover important radio area around wall these carry hand those nature kind sister cup.
s01675,geography,100,90%,bar court man agree everything event form reveal hair.
s08282,english,63,0%,No comment
s05211,science,58,90%,last board study happen raise go matter voice table member.
s04702,geography,100,100%,among final order case turn check resource this beat game player.
s10578,geography,96,90%,throughout like pick again wife mission baby town compare plant someone poor.
s07676,arabic,43,90%,cold remember hair job fire fly push.
s01863,arabic,55,80%,science charge half glass employee social thousand simply form.
s02491,math,90,0%,but step whole follow create final serve interesting.
s01837,math,86,80%,democrat place red building month always arm year suggest mouth message.
s08441,science,47,95%,one become year heavy provide feeling car work nation appear way admit writer.
s00407,history,46,100%,think provide plant general language early final remain weight.
s05546,geography,68,100%,newspaper place relate management military argue show not able.
s07130,math,94,90%,professional color woman necessary local way summer us score whatever executive.
s08936,math,61,80%,site own wide evidence various language day exist manage meet.
s11285,math,62,0%,drop important attack maybe reduce fall them term.
